name,type,variable,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,continent,region
Afghanistan,country,Agricultural water withdrawal [10^9 m3/year],,,,,,,,,,,,,,,,,,,,,,,,,,25.85,25.31818182,24.78636364,24.25454545,23.72272727,23.19090909,22.65909091,22.12727273,21.59545455,21.06363636,20.53181818,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,Asia,Southern Asia
Afghanistan,country,Agricultural water withdrawal as % of total water withdrawal [%],,,,,,,,,,,,,,,,,,,,,,,,,,99.00004213,98.97282311,98.944452,98.91485409,98.88394802,98.85164512,98.81784851,98.78245211,98.7453396,98.70638307,98.66544157,98.62235943,98.61427973,98.60620134,98.51857617,98.43110659,98.3437922,98.25663257,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,Asia,Southern Asia
Afghanistan,country,Fresh groundwater withdrawal [10^9 m3/year],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.042,3.042,3.042,3.042,3.042,3.042,3.042,3.042,3.042,3.042,3.042,3.042,3.042,3.042,3.042,3.042,3.042,3.042,3.042,3.042,3.042,3.042,3.042,3.042,3.042,Asia,Southern Asia
Afghanistan,country,Fresh surface water withdrawal [10^9 m3/year],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,Asia,Southern Asia
Afghanistan,country,Industrial water withdrawal [10^9 m3/year],,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.009884615,0.019769231,0.029653846,0.039538462,0.049423077,0.059307692,0.069192308,0.079076923,0.088961539,0.098846154,0.108730769,0.118615385,0.1285,0.1367,0.1449,0.1531,0.1613,0.1695,0.1695,0.1695,0.1695,0.1695,0.1695,0.1695,0.1695,0.1695,0.1695,0.1695,0.1695,0.1695,0.1695,0.1695,0.1695,0.1695,0.1695,Asia,Southern Asia
Afghanistan,country,Industrial water withdrawal as % of total water withdrawal [%],,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.038640543,0.078916607,0.120934275,0.164809009,0.210666707,0.258644911,0.308894183,0.361579684,0.416882989,0.475004178,0.53616425,0.584858536,0.633544844,0.673374468,0.713133367,0.752821729,0.792439742,0.831987591,0.831987591,0.831987591,0.831987591,0.831987591,0.831987591,0.831987591,0.831987591,0.831987591,0.831987591,0.831987591,0.831987591,0.831987591,0.831987591,0.831987591,0.831987591,0.831987591,0.831987591,Asia,Southern Asia
Afghanistan,country,Irrigation water requirement [10^9 m3/year],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,Asia,Southern Asia
Afghanistan,country,Municipal water withdrawal [10^9 m3/year],,,,,,,,,,,,,,,,,,,,,,,,,,0.2611,0.252876923,0.244653846,0.236430769,0.228207692,0.219984615,0.211761539,0.203538462,0.195315385,0.187092308,0.178869231,0.170646154,0.162423077,0.1542,0.16404,0.17388,0.18372,0.19356,0.2034,0.2034,0.2034,0.2034,0.2034,0.2034,0.2034,0.2034,0.2034,0.2034,0.2034,0.2034,0.2034,0.2034,0.2034,0.2034,0.2034,0.2034,Asia,Southern Asia
Afghanistan,country,SDG 6.4.2. Agricultural Sector Contribution to Water Stress [%],,,,,,,,,,,,,,,,,,,,,,,,,,69.78941685,68.3542598,66.91910239,65.48394459,64.04623994,62.61044571,61.17465148,59.73885726,58.30306303,56.8672688,55.43147457,54.00266453,53.99824032,53.99381684,53.9458359,53.89794017,53.85012941,53.8024034,53.7547619,53.7547619,53.7547619,53.7547619,53.7547619,53.7547619,53.7547619,53.7547619,53.7547619,53.7547619,53.7547619,53.7547619,53.7547619,53.7547619,53.7547619,53.7547619,53.7547619,53.7547619,Asia,Southern Asia
Afghanistan,country,SDG 6.4.2. Industrial Sector Contribution to Water Stress [%],,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.026686575,0.053373669,0.080061316,0.106745307,0.133431633,0.16011796,0.186804286,0.213490613,0.24017694,0.266863266,0.293587563,0.320251102,0.346910273,0.368719788,0.390490577,0.412222741,0.433916383,0.455571607,0.455571607,0.455571607,0.455571607,0.455571607,0.455571607,0.455571607,0.455571607,0.455571607,0.455571607,0.455571607,0.455571607,0.455571607,0.455571607,0.455571607,0.455571607,0.455571607,0.455571607,Asia,Southern Asia
